ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
URY,Uruguay,1,Artigas,Com,611.999999994,85596609.37575,89878781.24955,84108515.62591,0.0,0.0,169284.93749791314,259583906.25325,276.60937499930196,1533.4140774128236
URY,Uruguay,1,Artigas,Ind,536.0,107730069.93006994,67920332.16783217,55829667.832167834,0.0,0.0,165000.0,231480069.93006992,307.8358208955224,1402.9095147276964
URY,Uruguay,1,Artigas,Res,12230.1975,371683225.57930005,476539861.08180004,795582583.8044,12230.1975,83315.82480131001,1626077.3216623827,1643805670.426,132.9559331860653,1010.9025250690374
URY,Uruguay,10,Montevideo,Com,8522.999999782,1144345027.64035,1186681254.81961,1154480448.29904,0.0,0.0,2277887.0624436545,3485506730.78206,267.2635295672789,1530.149052711553
URY,Uruguay,10,Montevideo,Ind,7400.0,1463962762.2377622,922146870.6293707,775853129.3706294,0.0,0.0,2264000.0,3161962762.237762,305.94594594594594,1396.626661765796
URY,Uruguay,10,Montevideo,Res,117682.86290000001,4036992007.064,5542496792.7439995,8658804513.516,117682.86290000001,1147459.8837377,17979147.074180353,18238293313.624,152.77625502243242,1014.413711527829
URY,Uruguay,11,Paysandú,Com,890.100000014,124380703.12444,129880406.25364,122341078.12571,0.0,0.0,245404.68749547188,376602187.5076,275.7046258753084,1534.6169274559963
URY,Uruguay,11,Paysandú,Ind,769.0,157182604.8951049,98221748.25174825,83390751.74825175,0.0,0.0,242150.0,338795104.8951049,314.889466840052,1399.1125537687585
URY,Uruguay,11,Paysandú,Res,16371.7047,507821822.94208,659184952.97608,1087497518.5914502,16371.7047,119364.69491331,2229012.8358691707,2254504294.5385,136.15032012330218,1011.4362099038291
URY,Uruguay,12,Río Negro,Com,435.600000003,62937000.00168,66048468.75078,60772499.99946,0.0,0.0,123393.37500137812,189757968.75423,283.2722107450145,1537.8294722233725
URY,Uruguay,12,Río Negro,Ind,361.0,72028846.15384616,45335769.23076923,37014230.76923077,0.0,0.0,109800.0,154378846.15384614,304.1551246537396,1406.0004203446827
URY,Uruguay,12,Río Negro,Res,7788.867699999999,242306780.18897,315075122.56752,518936971.3536499,7788.867699999999,57332.931624310004,1064076.590344891,1076318874.0894,136.61505514400906,1011.5050776002328
URY,Uruguay,13,Rivera,Com,814.49999999,113219066.10563,117658932.6926,114311989.18137,0.0,0.0,225701.43750192938,345189987.98251,277.1042817737267,1529.4097893353432
URY,Uruguay,13,Rivera,Ind,681.0,136630856.64335665,85950944.05594406,72336555.94405594,0.0,0.0,211050.0,294918356.6433566,309.91189427312776,1397.3861958936584
URY,Uruguay,13,Rivera,Res,15567.318400000002,472743686.20220006,605826833.4312,1011887330.3628,15567.318400000002,105781.48550671,2067960.7200788124,2090457850.01,132.8398807644875,1010.8788961573362
URY,Uruguay,14,Rocha,Com,564.299999988,83188362.982908,87903995.193387,79235989.18273,0.0,0.0,162622.68749665312,250328347.36011,288.1848086126375,1539.319951069324
URY,Uruguay,14,Rocha,Ind,495.0,97429545.45454545,61304090.90909091,53745909.09090909,0.0,0.0,153400.0,212479545.45454544,309.8989898989899,1385.1339338627474
URY,Uruguay,14,Rocha,Res,11825.5368,352399343.25570005,445406329.2898,755285133.4619,11825.5368,76594.16494495,1539583.4846753995,1553090805.969,130.1914247711275,1008.7733607355813
URY,Uruguay,15,Salto,Com,1070.100000001,147764080.52588,154041850.95953,146256508.41414002,0.0,0.0,292182.1874966531,448062439.888,273.04194701091495,1533.503611999388
URY,Uruguay,15,Salto,Ind,911.0,185519143.35664335,116101555.94405594,98135944.05594406,0.0,0.0,285650.0,399756643.3566434,313.556531284303,1399.4631309527163
URY,Uruguay,15,Salto,Res,21551.114200000004,647027599.7709999,823254502.5100001,1384648872.8669999,21551.114200000004,140863.2889066,2825214.911786987,2854930975.2139997,131.09368200494183,1010.5181603364174
URY,Uruguay,16,San José,Com,781.200000014,108461942.30528,113015076.92221001,107992860.57620001,0.0,0.0,215034.75000429188,329469879.81539,275.26209677475447,1532.1704041268404
URY,Uruguay,16,San José,Ind,676.0,134419580.41958043,84393006.99300699,70106993.00699301,0.0,0.0,206000.0,288919580.4195804,304.73372781065086,1402.5222350465067
URY,Uruguay,16,San José,Res,28148.361500000003,739200002.2538,854788181.3892999,1578387641.9993002,28148.361500000003,105097.85459656,3155035.2195360963,3172375825.673,112.08592796906122,1005.496168800123
