ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
TWN,Taiwan,A,Taipei City,Urban,Com,CR/LFINF+DUM/H:1/COM1,1910,795694443,198923611,278493057,318277779,381933,0,23700.010000000002,2344.91,5862.29
TWN,Taiwan,A,Taipei City,Urban,Com,CR/LFINF+DUM/H:1/COM12,111,63640001,15910001,22273999,25456001,44400,0,2755.17,272.61,681.51
TWN,Taiwan,A,Taipei City,Urban,Com,CR/LFINF+DUM/H:1/COM1B,283,586805555,146701390,205381945,234722224,281668,0,17478.22,1729.32,4323.32
TWN,Taiwan,A,Taipei City,Urban,Com,CR/LFINF+DUM/H:1/COM2,418,328608334,82152085,115012916,131443335,209748,0,13015.43,1287.77,3219.41
TWN,Taiwan,A,Taipei City,Urban,Com,CR/LFINF+DUM/H:1/COM4,659,1371527778,342881945,480034722,548611111,658334,0,40851.42,4041.92,10104.77
TWN,Taiwan,A,Taipei City,Urban,Com,CR/LFINF+DUM/H:1/COM8,1548,967291666,241822916,338552084,386916666,464300,0,28811.1,2850.62,7126.53
TWN,Taiwan,A,Taipei City,Urban,Com,CR/LFINF+DUM/HBET:13-/COM4,53,2451833333,612958333,858141667,980733333,1043333,0,64741.479999999996,6405.65,16014.08
TWN,Taiwan,A,Taipei City,Urban,Com,CR/LFINF+DUM/HBET:2-5/COM1,793,1657638888,414409721,580173612,663055554,795664,0,49373.11,4885.06,12212.66
TWN,Taiwan,A,Taipei City,Urban,Com,CR/LFINF+DUM/HBET:2-5/COM12,222,477300000,119325000,167055000,190920000,333000,0,20663.57,2044.49,5111.23
TWN,Taiwan,A,Taipei City,Urban,Com,CR/LFINF+DUM/HBET:2-5/COM1B,49,520833335,130208333,182291665,208333333,250001,0,15513.08,1534.9,3837.24
TWN,Taiwan,A,Taipei City,Urban,Com,CR/LFINF+DUM/HBET:2-5/COM2,74,173978335,43494585,60892415,69591335,111050,0,6890.96,681.82,1704.49
TWN,Taiwan,A,Taipei City,Urban,Com,CR/LFINF+DUM/HBET:2-5/COM4,2140,11143229165,2785807291,3900130210,4457291667,5348749,0,331904.75,32839.22,82098.05
TWN,Taiwan,A,Taipei City,Urban,Com,CR/LFINF+DUM/HBET:2-5/COM8,517,1075000000,268749999,376250000,429999998,515998,0,32019.09,3168.01,7920.0599999999995
TWN,Taiwan,A,Taipei City,Urban,Com,CR/LWAL+DUM/HBET:6-12/COM12,35,501666667,125416667,175583333,200666667,350000,0,21712.81,2148.3,5370.75
TWN,Taiwan,A,Taipei City,Urban,Com,CR/LWAL+DUM/HBET:6-12/COM4,431,10061916666,2515479166,3521670834,4024766666,4281666,0,265689.22,26287.739999999998,65719.36
TWN,Taiwan,A,Taipei City,Urban,Com,MCF/LWAL+DUM/H:1/COM1,1430,550769230,220307694,137692307,192769230,286402,0,17772.02,1758.4,4395.99
TWN,Taiwan,A,Taipei City,Urban,Com,MCF/LWAL+DUM/H:1/COM2,701,505575385,202230152,126393846,176951383,349601,0,21693.71,2146.42,5366.05
